allele,np_with_allele,np_withOut_allele,p_with_allele,p_withOut_allele,fisher_test_pvalue,cohort
DPA1*02,25,7,22,11,0.407546932,ACS
DPB1*01,12,20,9,24,0.433861078,ACS
DPB1*05,0,32,3,30,0.238461538,ACS
DQA1*02,10,34,9,31,1,ACS
DQA1*03,9,35,13,27,0.226151409,ACS
DQB1*02,13,31,10,30,0.806956,ACS
DQB1*03,17,27,16,24,1,ACS
DRB1*04,13,31,12,28,1,ACS
DRB1*07,9,35,8,32,1,ACS
DRB4*01,13,18,17,16,0.464781181,ACS
DPA1*01,25,7,22,11,0.407546932,ACS
DPB1*04,9,23,8,25,0.782825122,ACS
DPB1*15,0,32,2,31,0.492307692,ACS
DQA1*01,26,18,29,11,0.252397824,ACS
DQA1*05,21,23,16,24,0.515442388,ACS
DQB1*06,26,18,28,12,0.364386573,ACS
DRB1*03,11,33,7,33,0.437521541,ACS
DRB1*15,17,27,18,22,0.658817723,ACS
DRB3*01,8,23,8,25,1,ACS
DPB1*09,0,32,3,30,0.238461538,ACS
DRB1*08,1,43,1,39,1,ACS
DPA1*03,7,25,8,25,1,ACS
DPB1*02,6,26,7,26,1,ACS
DPB1*105,8,24,11,22,0.587367731,ACS
DRB1*09,0,44,2,38,0.223752151,ACS
DRB5*01,14,17,12,21,0.61139544,ACS
DPB1*13,4,28,2,31,0.426649853,ACS
DPB1*131,3,29,1,32,0.355311355,ACS
DRB1*11,8,36,7,33,1,ACS
DRB3*03,5,26,5,28,1,ACS
DPB1*03,2,30,3,30,1,ACS
DRB3*02,16,15,13,20,0.451491912,ACS
DPB1*34,2,30,3,30,1,ACS
DQB1*05,11,33,7,33,0.437521541,ACS
DRB1*12,5,39,7,33,0.537045534,ACS
DRB1*14,2,42,1,39,1,ACS
DRB1*01,4,40,4,36,1,ACS
DRB1*10,3,41,0,40,0.242685026,ACS
DPB1*11,2,30,2,31,1,ACS
DRB1*13,10,34,11,29,0.62505209,ACS
DPB1*20,1,31,0,33,0.492307692,ACS
DPB1*26,1,31,0,33,0.492307692,ACS
DPB1*18,2,30,3,30,1,ACS
DPB1*49,1,31,0,33,0.492307692,ACS
DPB1*17,4,28,4,29,1,ACS
DQA1*04,5,39,4,36,1,ACS
DQB1*04,3,41,3,37,1,ACS
DPB1*16,0,32,1,32,1,ACS
DPB1*106,0,32,1,32,1,ACS
DPA1*04,1,31,2,31,1,ACS
DPB1*80,1,31,0,33,0.492307692,ACS
DQA1*06,1,43,1,39,1,ACS
DPB1*28,0,32,1,32,1,ACS
DPB1*14,1,31,0,33,0.492307692,ACS
DPB1*105,9,15,1,12,0.065468496,GC6
DPB1*11,0,24,2,11,0.117117117,GC6
DPA1*03,8,16,1,12,0.119345643,GC6
DQB1*03,7,17,7,6,0.171287183,GC6
DRB5*01,7,17,1,12,0.216426483,GC6
DQA1*06,1,24,2,11,0.265054528,GC6
DRB1*10,0,25,1,12,0.342105263,GC6
DPB1*519,0,24,1,12,0.351351351,GC6
DPB1*51,0,24,1,12,0.351351351,GC6
DPB1*39,0,24,1,12,0.351351351,GC6
DPB1*02,5,19,1,12,0.394484821,GC6
DRB1*11,4,21,4,9,0.406811685,GC6
DQA1*05,8,17,2,11,0.441320412,GC6
DRB1*15,7,18,2,11,0.456244045,GC6
DRB1*04,6,19,5,8,0.457310019,GC6
DPB1*01,6,18,5,8,0.464545885,GC6
DQB1*06,16,8,7,6,0.494840046,GC6
DRB3*01,8,16,6,7,0.494840046,GC6
DPA1*04,2,22,0,13,0.531531532,GC6
DRB1*14,2,23,0,13,0.53769559,GC6
DRB1*08,4,21,1,12,0.642588187,GC6
DPB1*13,4,20,3,10,0.677983486,GC6
DRB1*03,5,20,4,9,0.689282311,GC6
DRB3*03,5,19,4,9,0.69056804,GC6
DRB3*02,8,16,3,10,0.710565343,GC6
DQA1*03,7,18,5,8,0.714373694,GC6
DQA1*01,18,7,8,5,0.714373694,GC6
DQB1*04,7,17,5,8,0.716131394,GC6
DRB4*01,11,13,7,6,0.737428374,GC6
DPA1*02,17,7,10,3,1,GC6
DPA1*01,15,9,8,5,1,GC6
DPB1*10,1,23,1,12,1,GC6
DPB1*04,8,16,5,8,1,GC6
DRB1*13,9,16,4,9,1,GC6
DPB1*03,3,21,2,11,1,GC6
DQB1*05,5,19,2,11,1,GC6
DRB1*01,2,23,1,12,1,GC6
DQA1*04,5,20,3,10,1,GC6
DQB1*02,7,17,3,10,1,GC6
DQA1*02,3,22,2,11,1,GC6
DRB1*07,5,20,2,11,1,GC6
DPB1*17,1,23,1,12,1,GC6
DRB1*09,1,24,0,13,1,GC6
DPB1*104,1,23,0,13,1,GC6
DRB1*16,1,24,0,13,1,GC6
DRB5*02,1,23,0,13,1,GC6
DPB1*18,1,23,1,12,1,GC6
DRB1*12,1,24,1,12,1,GC6
DPB1*55,1,23,0,13,1,GC6
DPB1*106,1,23,0,13,1,GC6
DPB1*558,1,23,0,13,1,GC6
DPB1*296,1,23,0,13,1,GC6
DPB1*14,1,23,0,13,1,GC6