,A,B,C,D,E,F,G,H
1,146,156,161,153,166,167,164,156
2,161,171,173,165,173,159,176,166
3,175,172,172,168,162,165,163,174
4,147,143,166,164,180,171,162,164
5,151,160,167,156,159,151,168,158
6,142,166,167,168,166,157,157,168
7,137,162,157,170,177,174,156,155
8,140,160,164,173,173,187,166,168
9,156,165,176,173,169,179,156,163
10,155,152,166,175,172,175,180,171
11,161,157,160,168,171,164,168,161
12,131,154,151,158,159,171,166,151
,,,,,,,,
,A,B,C,D,E,F,G,H
13,136,147,149,150,150,141,154,157
14,154,157,156,168,158,161,159,167
15,139,149,145,158,159,163,173,152
16,166,153,141,160,162,161,160,165
17,157,159,159,163,149,157,175,151
18,159,160,149,155,151,153,166,149
19,155,155,170,149,160,159,171,161
20,137,163,148,160,149,150,156,155
21,167,142,165,163,154,156,172,154
22,149,170,159,158,158,163,163,147
23,152,150,152,155,159,162,157,170
24,159,137,151,143,146,143,151,134
,,,,,,,,
,A,B,C,D,E,F,G,H
25,147,156,158,157,176,171,169,155
26,174,172,157,163,181,161,166,180
27,170,167,182,162,182,168,162,179
28,162,178,180,171,180,193,173,161
29,177,170,173,176,172,176,179,171
30,174,180,173,169,165,196,180,189
31,167,178,176,176,190,180,169,172
32,164,170,174,183,168,5713,176,177
33,175,181,171,176,177,204,179,182
34,169,178,171,169,170,173,182,176
35,167,168,183,195,179,171,179,168
36,169,167,180,166,174,180,168,166
,,,,,,,,
,A,B,C,D,E,F,G,H
37,156,158,168,169,177,163,163,170
38,173,167,181,164,177,166,166,175
39,165,170,173,175,187,170,171,177
40,170,186,178,189,177,173,180,187
41,164,182,181,176,180,181,177,173
42,166,182,183,181,182,170,187,173
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0